<<<<<<< HEAD
﻿plante;traitement;date prélèvement;jours apres 6,0;age_plante_stadeTS_BM;age épi_jours_TS;date_6F_BM;jours en stress;age_épi_jours20°C_TS;talle;code_épi;age épi_jours_TS;F visibles;F drapeau BM;distance ligules BM (mm);ligules drapeau-drapeau-1 (mm);sommet épi - ligule drapeau-1 (mm);lg épi BM;lg épi réelle (mm);LN(lg épi/lg épi BM);n° photo;grossissement;lg sur écran;largeur image écran;remarque;
2bleu;S0b;12/03/2021;8,00;8,0;5,1;04/03/2021;4;6,80;T2;2bleu_T2;5,1;4,2;;;;;9,762532621;4,686015658;-0,733969175;;20;240;266;;
2bleu;S0b;12/03/2021;8,00;8,0;1,8;04/03/2021;4;3,48;T3;2bleu_T3;1,8;3,8;;;;;9,762532621;2,277924278;-1,455287233;;30;175;266;stade TS;
6rouge;S0b;12/03/2021;8,00;8,0;7,7;04/03/2021;4;9,40;BM;6rouge_BM;7,7;7,2;;;;;11,71503914;11,71503914;0;;8;240;266;;
6rouge;S0b;12/03/2021;8,00;8,0;5,1;04/03/2021;4;6,80;T2;6rouge_T2;5,1;4,5;;;;;11,71503914;5,310817746;-0,791127589;;12,5;170;266;inversion T1-T2 sur les photos;
6rouge;S0b;12/03/2021;8,00;8,0;0,4;04/03/2021;4;2,11;T2.1;6rouge_T2.1;0,4;3,2;;;;;11,71503914;1,896720623;-1,820747006;;35;170;266;"presque TS ; inversion T1.1-T2.1 sur les photos";
6rouge;S0b;12/03/2021;8,00;8,0;2,1;04/03/2021;4;3,78;T0;6rouge_T0;2,1;3,8;;;;;11,71503914;2,798592685;-1,431756735;;30;215;266;stade TS;
6rouge;S0b;12/03/2021;8,00;8,0;5,9;04/03/2021;4;7,62;T1;6rouge_T1;5,9;4,8;;;;;11,71503914;8,08337701;-0,371063681;;10;207;266;inversion T1-T2 sur les photos;
6rouge;S0b;12/03/2021;8,00;8,0;0,7;04/03/2021;4;2,35;T1.1;6rouge_T1.1;0,7;3,8;;;;;11,71503914;2,343007829;-1,609437912;;30;180;266;"stade TS ; inversion T1.1-T2.1 sur les photos";
6rouge;S0b;12/03/2021;8,00;8,0;1,8;04/03/2021;4;3,48;T3;6rouge_T3;1,8;3,5;;;;;11,71503914;2,343007829;-1,609437912;;30;180;266;stade TS;
8bleu;S0b;12/03/2021;8,00;8,0;7,7;04/03/2021;4;9,40;BM;8bleu_BM;7,7;7,5;;;;;15,86411551;15,86411551;0;;8;325;266;;
8bleu;S0b;12/03/2021;8,00;8,0;5,9;04/03/2021;4;7,62;T1;8bleu_T1;5,9;4,8;;;;;15,86411551;7,185224009;-0,792032976;;12,5;230;266;;
8bleu;S0b;12/03/2021;8,00;8,0;0,7;04/03/2021;4;2,35;T1.1;8bleu_T1.1;0,7;2,8;;;;;15,86411551;2,40809138;-1,885225197;;30;185;266;stade TS;
8bleu;S0b;12/03/2021;8,00;8,0;0,4;04/03/2021;4;2,11;T2.1;8bleu_T2.1;0,4;2,8;;;;;15,86411551;2,008292425;-2,066774851;;35;180;266;stade TS ?;
8bleu;S0b;12/03/2021;8,00;8,0;1,8;04/03/2021;4;3,48;T3;8bleu_T3;1,8;3,2;;;;;15,86411551;3,045910178;-1,650259907;;25;195;266;après TS;
8bleu;S0b;12/03/2021;8,00;8,0;5,1;04/03/2021;4;6,80;T2;8bleu_T2;5,1;4,5;;;;;15,86411551;6,372981295;-0,911992291;;12,5;204;266;;
8bleu;S0b;12/03/2021;8,00;8,0;2,1;04/03/2021;4;3,78;T0;8bleu_T0;2,1;;;;;;15,86411551;3,124010439;-1,624942099;;25;200;266;;
1bleu;S0a;12/03/2021;7,00;5,0;4,7;05/03/2021;0;4,70;BM;1bleu_BM;4,7;7,2;8;;;;4,295514353;4,295514353;0;;20;220;266;;
1bleu;S0a;12/03/2021;7,00;5,0;2,9;05/03/2021;0;2,92;T1;1bleu_T1;2,9;4,8;8;;;;4,295514353;2,811609395;-0,423814247;;25;180;266;;
1bleu;S0a;12/03/2021;7,00;5,0;-2,3;05/03/2021;0;-2,35;T1.1;1bleu_T1.1;-2,3;3,2;8;;;;4,295514353;1,004146212;-1,453433664;;35;90;266;bien avant TS;
1bleu;S0a;12/03/2021;7,00;5,0;2,1;05/03/2021;0;2,10;T2;1bleu_T2;2,1;4,2;8;;;;4,295514353;3,436411482;-0,223143551;;25;220;266;;
1bleu;S0a;12/03/2021;7,00;5,0;-1,2;05/03/2021;0;-1,22;T3;1bleu_T3;-1,2;3;8;;;;4,295514353;2,064078326;-0,732887509;;35;185;266;stade TS ?;
8rouge;S0b;08/03/2021;4,00;4,0;3,7;04/03/2021;0;3,70;BM;8rouge_BM;3,7;6,5;;;;;5,97955123;5,97955123;0;;16;245;266;;
8rouge;S0b;08/03/2021;4,00;4,0;1,9;04/03/2021;0;1,92;T1;8rouge_T1;1,9;4,2;;;;;5,97955123;4,100263701;-0,377294231;;20;210;266;;
8rouge;S0b;08/03/2021;4,00;4,0;-3,6;04/03/2021;0;-3,59;T2.1;8rouge_T2.1;-3,6;2,8;;;;;5,97955123;1,729362921;-1,240592433;;35;155;266;avant TS;
8rouge;S0b;08/03/2021;4,00;4,0;-1,9;04/03/2021;0;-1,92;T0;8rouge_T0;-1,9;3,2;;;;;5,97955123;2,287221928;-0,961007571;;35;205;266;stade TS;
8rouge;S0b;08/03/2021;4,00;4,0;1,1;04/03/2021;0;1,10;T2;8rouge_T2;1,1;4;;;;;5,97955123;2,993843337;-0,691787561;;30;230;266;stade TS;
4blanc;S0b;08/03/2021;4,00;4,0;3,7;04/03/2021;0;3,70;BM;4blanc_BM;3,7;7,2;;;;;4,822691115;4,822691115;0;;20;247;266;;
4blanc;S0b;08/03/2021;4,00;4,0;1,9;04/03/2021;0;1,92;T1;4blanc_T1;1,9;4,2;;;;;4,822691115;2,668425583;-0,591843466;;30;205;266;stade TS;
4blanc;S0b;08/03/2021;4,00;4,0;1,1;04/03/2021;0;1,10;T2;4blanc_T2;1,1;3,8;;;;;4,822691115;2,473174931;-0,667829373;;30;190;266;stade TS;
4blanc;S0b;08/03/2021;4,00;4,0;-3,3;04/03/2021;0;-3,35;T1.1;4blanc_T1.1;-3,3;2,8;;;;;4,822691115;1,785148822;-0,993830309;;35;160;266;avant TS;
2blanc;S0b;08/03/2021;4,00;4,0;3,7;04/03/2021;0;3,70;BM;2blanc_BM;3,7;6,5;;;;;4,393139679;4,393139679;0;;20;225;266;;
2blanc;S0b;08/03/2021;4,00;4,0;1,9;04/03/2021;0;1,92;T1;2blanc_T1;1,9;4,2;;;;;4,393139679;2,064078326;-0,755360365;;35;185;266;stade TS ?;
2blanc;S0b;08/03/2021;4,00;4,0;-3,6;04/03/2021;0;-3,59;T2.1;2blanc_T2.1;-3,6;2,5;;;;;4,393139679;1,539690859;-1,048462505;;35;138;266;;
2blanc;S0b;08/03/2021;4,00;4,0;1,1;04/03/2021;0;1,10;T2;2blanc_T2;1,1;3,8;;;;;4,393139679;2,264907568;-0,662510211;;25;145;266;stade TS;
2blanc;S0b;08/03/2021;4,00;4,0;1,1;04/03/2021;0;1,10;T2;2blanc_T2;1,1;3,8;;;;;4,393139679;2,277924278;-0,656779536;;30;175;266;stade TS;
2blanc;S0b;08/03/2021;4,00;4,0;-2,2;04/03/2021;0;-2,22;T3;2blanc_T3;-2,2;2,8;;;;;4,393139679;2,147757177;-0,715620036;;30;165;266;stade TS;
3bleu;S0a;08/03/2021;4,00;4,0;1,9;04/03/2021;0;1,92;T1;3bleu_T1;1,9;;;;;;6;4,002638374;-0,404805732;;20;205;266;;
3bleu;S0a;08/03/2021;4,00;4,0;1,1;04/03/2021;0;1,10;T2;3bleu_T2;1,1;;;;;;6;3,436411482;-0,557331716;;25;220;266;;
87;S6;15/03/2021;3,00;3,0;0,9;12/03/2021;2;1,77;T1;87_T1;0,9;4,2;;;;;4,5;2,889709656;-0,442921365;95;25;185;266;après TS;
87;S6;15/03/2021;3,00;3,0;-4,3;12/03/2021;2;-3,50;T1.1;87_T1.1;-4,3;2,5;;;;;4,5;1,740520102;-0,949893419;97;35;156;266;avant TS;
87;S6;15/03/2021;3,00;3,0;-2,9;12/03/2021;2;-2,07;T0;87_T0;-2,9;3,5;;;;;4,5;1,562005219;-1,058107004;99;35;140;266;avant TS;
87;S6;15/03/2021;3,00;3,0;0,1;12/03/2021;2;0,95;T2;87_T2;0,1;3,5;;;;;4,5;2,082673626;-0,770424931;100;30;160;266;stade TS ?;
87;S6;15/03/2021;3,00;3,0;-3,2;12/03/2021;2;-2,37;T3;87_T3;-3,2;2,8;;;;;4,5;1,840934723;-0,893803953;98;35;165;266;avant TS;
83;S6;17/03/2021;3,00;3,0;2,7;14/03/2021;2;3,55;BM;83_BM;2,7;6,8;;;;;4,002638374;4,002638374;0;102;20;205;266;après TS;
83;S6;17/03/2021;3,00;3,0;0,9;14/03/2021;2;1,77;T1;83_T1;0,9;4,5;;;;;4,002638374;3,436411482;-0,152525984;101;25;220;266;après TS;
83;S6;17/03/2021;3,00;3,0;-4,3;14/03/2021;2;-3,50;T1.1;83_T1.1;-4,3;2,5;;;;;4,002638374;1,416961878;-1,038438681;103;35;127;266;bien avant TS;
83;S6;17/03/2021;3,00;3,0;-2,9;14/03/2021;2;-2,07;T0;83_T0;-2,9;3,5;;;;;4,002638374;1,941349344;-0,723570468;105;35;174;266;juste avant TS;
83;S6;17/03/2021;3,00;3,0;0,1;14/03/2021;2;0,95;T2;83_T2;0,1;3,8;;;;;4,002638374;2,603342032;-0,430157721;107;30;200;266;après TS;
83;S6;17/03/2021;3,00;3,0;-4,6;14/03/2021;2;-3,74;T2.1;83_T2.1;-4,6;2,8;;;;;4,002638374;1,59547676;-0,919781137;106;35;143;266;bien avant TS;
83;S6;17/03/2021;3,00;3,0;-3,2;14/03/2021;2;-2,37;T3;83_T3;-3,2;2,8;;;;;4,002638374;1,562005219;-0,940983344;104;35;140;266;avant TS;
14;S6;15/03/2021;4,00;4,0;3,7;11/03/2021;2;4,55;BM;14_BM;3,7;6,8;;;;;5,247361284;5,247361284;0;109;16;215;266;;
14;S6;15/03/2021;4,00;4,0;1,9;11/03/2021;2;2,77;T1;14_T1;1,9;4,5;;;;;5,247361284;2,798592685;-0,628608659;108;30;215;266;après TS;
14;S6;15/03/2021;4,00;4,0;-3,3;11/03/2021;2;-2,50;T1.1;14_T1.1;-3,3;2,5;;;;;5,247361284;1,807463182;-1,065801032;111;35;162;266;avant TS;
14;S6;15/03/2021;4,00;4,0;-1,9;11/03/2021;2;-1,07;T0;14_T0;-1,9;3,2;;;;;5,247361284;1,974820884;-0,977247635;113;35;177;266;stade TS;
14;S6;15/03/2021;4,00;4,0;1,1;11/03/2021;2;1,95;T2;14_T2;1,1;3,8;;;;;5,247361284;2,488051171;-0,746225596;114;35;223;266;après TS;
14;S6;15/03/2021;4,00;4,0;-3,6;11/03/2021;2;-2,74;T2.1;14_T2.1;-3,6;2,8;;;;;5,247361284;1,450433418;-1,285862917;112;35;130;266;bien avant TS;
14;S6;15/03/2021;4,00;4,0;-2,2;11/03/2021;2;-1,37;T3;14_T3;-2,2;2,8;;;;;5,247361284;1,517376499;-1,240742482;110;35;136;266;avant TS;
70;S6;15/03/2021;4,00;2,0;1,7;11/03/2021;2;2,55;BM;70_BM;1,7;6,8;8;;;;3,000351692;2,993843337;-0,002171554;116;30;230;266;;
70;S6;15/03/2021;4,00;2,0;1,7;11/03/2021;2;2,55;BM;70_BM;1,7;6,8;8;;;;3,000351692;3,006860047;0,002166848;117;30;231;266;;
70;S6;15/03/2021;4,00;2,0;-0,1;11/03/2021;2;0,77;T1;70_T1;-0,1;4,5;8;;;;3,000351692;2,603342032;-0,141933496;115;30;200;266;après TS;
70;S6;15/03/2021;4,00;2,0;-5,3;11/03/2021;2;-4,50;T1.1;70_T1.1;-5,3;2,5;8;;;;3,000351692;1,506219319;-0,689126764;118;35;135;266;avant TS;
70;S6;15/03/2021;4,00;2,0;-3,9;11/03/2021;2;-3,07;T0;70_T0;-3,9;3,5;8;;;;3,000351692;1,896720623;-0,458603105;119;35;170;266;"stade TS ; épi cassé";
70;S6;15/03/2021;4,00;2,0;-0,9;11/03/2021;2;-0,05;T2;70_T2;-0,9;3,8;8;;;;3,000351692;1,941349344;-0,435346243;120;35;174;266;stade TS;
70;S6;15/03/2021;4,00;2,0;-5,6;11/03/2021;2;-4,74;T2.1;70_T2.1;-5,6;2,8;8;;;;3,000351692;1,562005219;-0,65275912;121;35;140;266;avant TS;
70;S6;15/03/2021;4,00;2,0;-4,2;11/03/2021;2;-3,37;T3;70_T3;-4,2;2,8;8;;;;3,000351692;1,896720623;-0,458603105;122;35;170;266;stade TS;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
=======
﻿plante;traitement;date prélèvement;jours apres 6,0;age_plante_stadeTS_BM;age épi_jours_TS;date_6F_BM;jours en stress;age_épi_jours20°C_TS;talle;code_épi;age épi_jours_TS;F visibles;F drapeau BM;distance ligules BM (mm);ligules drapeau-drapeau-1 (mm);sommet épi - ligule drapeau-1 (mm);lg épi BM;lg épi réelle (mm);LN(lg épi/lg épi BM);n° photo;grossissement;lg sur écran;largeur image écran;remarque;
5blanc;S0a;03/03/2021;1,00;1,0;0,7;02/03/2021;0;0,70;BM;5blanc_BM;0,7;6,2;;;;;2,5;2,5;0;;;;;stade TS;
5blanc;S0a;03/03/2021;1,00;1,0;-1,1;02/03/2021;0;-1,08;T1;5blanc_T1;-1,1;;;;;;2,5;2;-0,223143551;;;;;stade TS pile;
1rouge;S0a;03/03/2021;-1,00;-1,0;-1,3;04/03/2021;0;-1,30;BM;1rouge_BM;-1,3;5,5;;;;;1,8;1,8;0;;;;;juste avant TS;
7rouge;S0a;04/03/2021;0,00;0,0;-0,3;04/03/2021;0;-0,30;BM;7rouge_BM;-0,3;6;;;;;2;2;0;;;;;stade TS pile;
47;S7;23/03/2021;12,00;12,0;11,7;11/03/2021;5;13,83;BM;47_BM;11,7;;7;30;30;-70;34;34;0;;;;;;
47;S7;23/03/2021;12,00;12,0;9,9;11/03/2021;5;12,04;T1;47_T1;9,9;;7;30;0;-95;34;20;-0,530628251;;;;;;
47;S7;23/03/2021;12,00;12,0;6,1;11/03/2021;5;8,21;T0;47_T0;6,1;;7;30;xx;-90;34;6,588980972;-1,640961821;147;10;170;268;;
47;S7;23/03/2021;12,00;12,0;9,1;11/03/2021;5;11,23;T2;47_T2;9,1;;7;30;xx;-115;34;11,14312958;-1,115537397;148;8;230;268;;
47;S7;23/03/2021;12,00;12,0;5,8;11/03/2021;5;7,90;T3;47_T3;5,8;;7;30;xx;-115;34;10,07726502;-1,216078627;149;8;208;268;;
42;S2;23/03/2021;12,00;12,0;11,7;11/03/2021;0;11,70;BM;42_BM;11,7;;7;30;30;-75;48;48;0;;;;;;
42;S2;23/03/2021;12,00;12,0;9,9;11/03/2021;0;9,92;T1;42_T1;9,9;;7;30;xx;-100;48;30;-0,470003629;;;;;;
42;S2;23/03/2021;12,00;12,0;9,1;11/03/2021;0;9,10;T2;42_T2;9,1;;7;30;xx;-100;48;20;-0,875468737;;;;;;
42;S2;23/03/2021;12,00;12,0;6,1;11/03/2021;0;6,08;T0;42_T0;6,1;;7;30;xx;-120;48;17;-1,037987667;;;;;;
42;S2;23/03/2021;12,00;12,0;5,8;11/03/2021;0;5,78;T3;42_T3;5,8;;7;30;xx;-110;48;15;-1,16315081;;;;;;
42;S2;23/03/2021;12,00;12,0;2,3;11/03/2021;0;2,27;T4;42_T4;2,3;;7;30;xx;xx;48;5,135529287;-2,235018098;151;16;212;268;;
42;S2;23/03/2021;12,00;12,0;4,7;11/03/2021;0;4,65;T1.1;42_T1.1;4,7;;7;30;xx;xx;48;10,17416179;-1,551349662;152;8;210;268;;
7blanc;S0a;19/03/2021;15,00;15,0;14,7;04/03/2021;0;14,70;BM;7blanc_BM;14,7;;7;100;100;25;100;100;0;;;;;;
7blanc;S0a;19/03/2021;15,00;15,0;12,9;04/03/2021;0;12,92;T1;7blanc_T1;12,9;;7;100;55;-35;100;58;-0,544727175;;;;;;
7blanc;S0a;19/03/2021;15,00;15,0;12,1;04/03/2021;0;12,10;T2;7blanc_T2;12,1;;7;100;23;-60;100;40;-0,916290732;;;;;;
7blanc;S0a;19/03/2021;15,00;15,0;7,7;04/03/2021;0;7,65;T1.1;7blanc_T1.1;7,7;;7;100;xx;-80;100;15;-1,897119985;;;;;;
7blanc;S0a;19/03/2021;15,00;15,0;9,1;04/03/2021;0;9,08;T0;7blanc_T0;9,1;;7;100;xx;-70;100;25;-1,386294361;;;;;;
4rouge;S0b;19/03/2021;15,00;15,0;14,7;04/03/2021;4,5;16,62;BM;4rouge_BM;14,7;;7;115;115;25;85;85;0;;;;;;
4rouge;S0b;19/03/2021;15,00;15,0;12,9;04/03/2021;4,5;14,83;T1;4rouge_T1;12,9;;7;115;90;-20;85;55;-0,435318071;;;;;;
4rouge;S0b;19/03/2021;15,00;15,0;12,1;04/03/2021;4,5;14,02;T2;4rouge_T2;12,1;;7;115;xx;-70;85;35;-0,887303195;;;;;;
4rouge;S0b;19/03/2021;15,00;15,0;8,8;04/03/2021;4,5;10,69;T3;4rouge_T3;8,8;;7;115;xx;-80;85;25;-1,223775432;;;;;;
8blanc;S0b;19/03/2021;15,00;15,0;14,7;04/03/2021;4,5;16,62;BM;8blanc_BM;14,7;;7;115;115;30;80;80;0;;;;;;
8blanc;S0b;19/03/2021;15,00;15,0;12,9;04/03/2021;4,5;14,83;T1;8blanc_T1;12,9;;7;115;90;-20;80;55;-0,374693449;;;;;;
8blanc;S0b;19/03/2021;15,00;15,0;12,1;04/03/2021;4,5;14,02;T2;8blanc_T2;12,1;;7;115;20;-65;80;36;-0,798507696;;;;;;
8blanc;S0b;19/03/2021;15,00;15,0;9,1;04/03/2021;4,5;11,00;T0;8blanc_T0;9,1;;7;115;xx;-90;80;18;-1,491654877;;;;;;
8blanc;S0b;19/03/2021;15,00;15,0;8,8;04/03/2021;4,5;10,69;T3;8blanc_T3;8,8;;7;115;xx;-90;80;15;-1,673976434;;;;;;
6bleu;S0b;22/03/2021;18,00;16,0;15,7;04/03/2021;4,5;17,62;BM;6bleu_BM;15,7;;8;100;100;0;80;80;0;;;;;;
6bleu;S0b;22/03/2021;18,00;16,0;13,9;04/03/2021;4,5;15,83;T1;6bleu_T1;13,9;;8;100;70;-50;80;40;-0,693147181;;;;;;
6bleu;S0b;22/03/2021;18,00;16,0;13,1;04/03/2021;4,5;15,02;T2;6bleu_T2;13,1;;8;100;30;-80;80;32;-0,916290732;;;;;;
6bleu;S0b;22/03/2021;18,00;16,0;10,1;04/03/2021;4,5;12,00;T0;6bleu_T0;10,1;;8;100;5;-90;80;30;-0,980829253;;;;;;
74;S4;26/03/2021;14,00;14,0;13,7;12/03/2021;2;14,75;BM;74_BM;13,7;;7;55;55;-50;62;62;0;;;;;;
74;S4;26/03/2021;14,00;14,0;11,9;12/03/2021;2;12,97;T1;74_T1;11,9;;7;55;-3;-100;62;33;-0,630626824;;;;;;
74;S4;26/03/2021;14,00;14,0;11,1;12/03/2021;2;12,15;T2;74_T2;11,1;;7;55;xx;-105;62;25;-0,90825856;;;;;;
74;S4;26/03/2021;14,00;14,0;7,8;12/03/2021;2;8,83;T3;74_T3;7,8;;7;55;xx;-110;62;15,37598888;-1,394327256;173;8;315;266;;
74;S4;26/03/2021;14,00;14,0;4,3;12/03/2021;2;5,32;T4;74_T4;4,3;;7;55;;;62;7,810026097;-2,07172608;174;8;160;266;;
74;S4;26/03/2021;14,00;14,0;6,7;12/03/2021;2;7,70;T1.1;74_T1.1;6,7;;7;55;;;62;6,345646203;-2,279365445;175;8;130;266;;
74;S4;26/03/2021;14,00;14,0;8,1;12/03/2021;2;9,13;T0;74_T0;8,1;;7;55;;;62;7,907651423;-2,05930356;176;8;162;266;;
74;S4;26/03/2021;14,00;14,0;3,7;12/03/2021;2;4,79;T1.2;74_T1.2;3,7;;7;55;;;62;6,560421921;-2,246079467;177;12,5;210;266;;
74;S4;26/03/2021;14,00;14,0;2,8;12/03/2021;2;3,81;T2.2;74_T2.2;2,8;;7;55;;;62;3,748812526;-2,805695255;178;12,5;120;266;;
80;S7;26/03/2021;14,00;14,0;13,7;12/03/2021;7;16,88;BM;80_BM;13,7;;7;55;55;-40;46;46;0;;;;;;
80;S7;26/03/2021;14,00;14,0;11,9;12/03/2021;7;15,09;T1;80_T1;11,9;;7;55;7;-70;46;32;-0,362905494;;;;;;
80;S7;26/03/2021;14,00;14,0;11,1;12/03/2021;7;14,28;T2;80_T2;11,1;;7;55;xx;-75;46;25;-0,609765572;;;;;;
80;S7;26/03/2021;14,00;14,0;6,7;12/03/2021;7;9,83;T1.1;80_T1.1;6,7;;7;55;xx;xx;46;10,20184659;-1,506072654;179;8;209;266;;
80;S7;26/03/2021;14,00;14,0;8,1;12/03/2021;7;11,26;T0;80_T0;8,1;;7;55;xx;xx;46;13,27704436;-1,24260484;180;8;272;266;;
80;S7;26/03/2021;14,00;14,0;1,5;12/03/2021;7;4,71;T0.1;80_T0.1;1,5;;7;55;xx;xx;46;2,287221928;-3,001303447;181;35;205;266;stade TS;
80;S7;26/03/2021;14,00;14,0;1,5;12/03/2021;7;4,71;T0.1;80_T0.1;1,5;;7;55;xx;xx;46;2,231436028;-3,02599606;182;35;200;266;;
80;S7;26/03/2021;14,00;14,0;6,4;12/03/2021;7;9,59;T2.1;80_T2.1;6,4;;7;55;xx;xx;46;7,273086802;-1,844460601;183;8;149;266;;
80;S7;26/03/2021;14,00;14,0;2,8;12/03/2021;7;5,94;T2.2;80_T2.2;2,8;;7;55;xx;xx;46;2,298379108;-2,996437257;184;35;206;266;stade TS pile;
80;S7;26/03/2021;14,00;14,0;7,8;12/03/2021;7;10,95;T3;80_T3;7,8;;7;55;xx;xx;46;14,64379893;-1,144624432;185;8;300;266;;
80;S7;26/03/2021;14,00;14,0;1,7;12/03/2021;7;4,85;T3.1;80_T3.1;1,7;;7;55;xx;xx;46;2,343007829;-2,977205896;186;35;210;266;stade TS;
80;S7;26/03/2021;14,00;14,0;4,3;12/03/2021;7;7,45;T4;80_T4;4,3;;7;55;xx;xx;46;2,39879373;-2,953675398;187;35;215;266;stade TS;
73;S2;27/03/2021;14,00;14,0;13,7;13/03/2021;2;14,29;BM;73_BM;13,7;;7;70;70;-50;65;65;0;;;;;;
73;S2;27/03/2021;14,00;14,0;11,9;13/03/2021;2;12,50;T1;73_T1;11,9;;7;70;xx;-95;65;37;-0,563469357;;;;;;
73;S2;27/03/2021;14,00;14,0;8,1;13/03/2021;2;8,67;T0;73_T0;8,1;;7;70;xx;-125;65;11,51978849;-1,730320975;188;8;236;266;;
73;S2;27/03/2021;14,00;14,0;11,1;13/03/2021;2;11,69;T2;73_T2;11,1;;7;70;xx;-60;65;22;-1,083344817;;;;;;
73;S2;27/03/2021;14,00;14,0;7,8;13/03/2021;2;8,36;T3;73_T3;7,8;;7;70;xx;-110;65;17;-1,341173926;;;;;;
73;S2;27/03/2021;14,00;14,0;4,3;13/03/2021;2;4,86;T4;73_T4;4,3;;7;70;xx;xx;65;7,341424531;-2,180854368;189;12,5;235;266;;
73;S2;27/03/2021;14,00;14,0;6,7;13/03/2021;2;7,24;T1.1;73_T1.1;6,7;;7;70;xx;xx;65;8,591028706;-2,023668785;190;10;220;266;;
73;S2;27/03/2021;14,00;14,0;6,4;13/03/2021;2;7,00;T2.1;73_T2.1;6,4;;7;70;xx;xx;65;6,492084193;-2,303803652;191;16;266;266;;
73;S2;27/03/2021;14,00;14,0;2,8;13/03/2021;2;3,34;T2.2;73_T2.2;2,8;;7;70;xx;xx;65;4,295514353;-2,716815965;192;20;220;266;;
82;S4;27/03/2021;14,00;14,0;13,7;13/03/2021;2;14,75;BM;82_BM;13,7;;7;80;80;-35;70;70;0;;;;;;
82;S4;27/03/2021;14,00;14,0;11,9;13/03/2021;2;12,97;T1;82_T1;11,9;;7;80;5;-80;70;42;-0,510825624;;;;;;
82;S4;27/03/2021;14,00;14,0;11,1;13/03/2021;2;12,15;T2;82_T2;11,1;;7;80;xx;-110;70;34;-0,722134717;;;;;;
82;S4;27/03/2021;14,00;14,0;7,8;13/03/2021;2;8,83;T3;82_T3;7,8;;7;80;xx;-105;70;24;-1,070441412;;;;;;
82;S4;27/03/2021;14,00;14,0;6,7;13/03/2021;2;7,70;T1.1;82_T1.1;6,7;;7;80;xx;-100;70;12,59366708;-1,715301167;193;8;258;266;;
82;S4;27/03/2021;14,00;14,0;8,1;13/03/2021;2;9,13;T0;82_T0;8,1;;7;80;xx;xx;70;14,88786225;-1,547948975;194;8;305;266;;
82;S4;27/03/2021;14,00;14,0;6,4;13/03/2021;2;7,46;T2.1;82_T2.1;6,4;;7;80;xx;xx;70;12,3007911;-1,738831664;195;8;252;266;;
82;S4;27/03/2021;14,00;14,0;2,8;13/03/2021;2;3,81;T2.2;82_T2.2;2,8;;7;80;xx;xx;70;6,028363893;-2,452019596;196;16;247;266;;
82;S4;27/03/2021;14,00;14,0;4,3;13/03/2021;2;5,32;T4;82_T4;4,3;;7;80;xx;xx;70;6,028363893;-2,452019596;197;16;247;266;;
81;S2;27/03/2021;14,00;14,0;13,7;13/03/2021;2;14,29;BM;81_BM;13,7;;7;50;50;-55;65;65;0;;;;;;
81;S2;27/03/2021;14,00;14,0;11,9;13/03/2021;2;12,50;T1;81_T1;11,9;;7;50;xx;-90;65;37;-0,563469357;;;;;;
81;S2;27/03/2021;14,00;14,0;11,1;13/03/2021;2;11,69;T2;81_T2;11,1;;7;50;xx;-105;65;32;-0,708651367;;;;;;
81;S2;27/03/2021;14,00;14,0;7,8;13/03/2021;2;8,36;T3;81_T3;7,8;;7;50;xx;xx;65;12,93535572;-1,614422954;199;8;265;266;;
81;S2;27/03/2021;14,00;14,0;8,1;13/03/2021;2;8,67;T0;81_T0;8,1;;7;50;xx;-100;65;12,93535572;-1,614422954;198;8;265;266;;
